always	alltaf	adv	
An epidemic broke out.	Faraldur braust út.		
before [in front of]	fyrir framan	prep	
computer network	tölvunet {hv}	noun	[comp.] 
computer scientist	tölvufræðingur {k}	noun	[jobs] [comp.] 
conspiracy	samsæri {hv}	noun	
dad [coll.]	pabbi {k}	noun	
dictionary	orðabók {kv}	noun	
fiord	fjörður {k}	noun	[geogr.] 
firmware	fastbúnaður {k}	noun	[comp.] 
fish	fiskur {k}	noun	
he	hann	pron	
I am...	Ég er...		
it	það	pron	
last	síðast	adv	
less	minna	adv	
more	meira	adv	
mum [Br.] [coll.]	mamma {kv}	noun	
never	aldrei	adv	
no	nei	adv	
nobody	enginn	pron	
not	ekki	adv	
she	hún	pron	
they	þau {hv.ft}	pron	
they	þeir {k.ft}	pron	
they	þær {kv.ft}	pron	
this	þetta	pron	
to listen	að hlusta	verb	
to live [reside]	að búa	verb	
to say	að segja	verb	
to speak	að tala	verb	
to work	að vinna	verb	
to write	að skrifa	verb	
tomato	tómati {k}	noun	
we	við	pron	
you {pl} [informal]	þið	pron	
you {sing} [informal]	þú	pron	
