ichthyologist	fiskifræðingur {k}	noun	[jobs] [fish] 
interpreter	túlkur {k}	noun	[jobs] [ling.] 
journalist	blaðamaður {k}	noun	[jobs] [journ.] 
lighthouse keeper	vitavörður {k}	noun	[jobs] 
doctor	læknir {k}	noun	
teacher	kennari {k}	noun	
nurse	sjúkraliði {k}	noun	[jobs] [med.] 
computer scientist	tölvufræðingur {k}	noun	[jobs] [comp.] 
dancer	dansari {k}	noun	
farmer	bóndi {k}	noun	[jobs] [agr.] 
molecular biology	sameindalíffræði {kv}	noun	[biochem.] [biol.] [acad.] 
molecule	sameind {kv}	noun	[chem.] 
poetess	skáldkona {kv}	noun	[jobs] [lit.] 
police	lögregla {kv}	noun	
shift work	vaktavinna {kv}	noun	[jobs] 
waiter	þjónn {k}	noun	
working at home <WAH> [telework]	fjarvinna {kv}	noun	[jobs] 
